Datetime,trajectory,run,year,month,day,hour,minute,seconds,time,latitude,longitude,altitude,pressure,potential temperature,air temperature,rainfall,mix depth,relative humidity,terrain above msl,solar flux,AP_O3,AP_PM,AP_Pres,AP_ALD2,AP_CO,AP_ETH,AP_FORM,AP_H2O2,AP_HNO3,AP_HONO,AP_ISOP,AP_IOLE,AP_N2O5,AP_NH3,AP_NO,AP_NO2,AP_NOX,AP_ANO3_PPB,AP_PAN,AP_PANX,AP_SO2,AP_SULF,AP_TERP,AP_TOL,AP_VOC,AP_XLY,AP_ANO3,AP_XYL
2020-09-10 03:00:00,2,1,2020,9,10,3,0,0,-69.0,43.574,-123.53,96.7,936.6,301.9,296.2,0.0,363.3,23.9,570.8,0.0,32.28788757324219,361.0597839355469,91323.3671875,77.04888916015625,7428.97900390625,95.2149658203125,176.1776580810547,0.6505456566810608,0.020663460716605186,0.0172992292791605,3.3627665042877197,4.703715801239014,0.004388061352074146,201.12437438964844,3.331376075744629,33.87730026245117,37.208675384521484,,0.3516319990158081,0.29249754548072815,19.052207946777344,0.00013534219760913402,3.626300811767578,17.220909118652344,1774.6812744140625,,0.6541092395782471,3.354562520980835
2020-09-10 03:00:00,3,1,2020,9,10,3,0,0,-69.0,42.544,-122.691,378.5,867.0,305.8,293.5,0.0,512.4,15.7,950.1,0.0,32.28788757324219,361.0597839355469,91323.3671875,77.04888916015625,7428.97900390625,95.2149658203125,176.1776580810547,0.6505456566810608,0.020663460716605186,0.0172992292791605,3.3627665042877197,4.703715801239014,0.004388061352074146,201.12437438964844,3.331376075744629,33.87730026245117,37.208675384521484,,0.3516319990158081,0.29249754548072815,19.052207946777344,0.00013534219760913402,3.626300811767578,17.220909118652344,1774.6812744140625,,0.6541092395782471,3.354562520980835
2020-09-10 02:00:00,1,1,2020,9,10,2,0,0,-70.0,44.804,-122.174,236.5,907.3,305.5,297.1,0.0,633.2,9.9,705.0,88.3,33.71747970581055,360.8641662597656,88735.40625,46.37531661987305,4430.74755859375,55.77732849121094,106.08721923828125,0.7315463423728943,0.02881241776049137,0.007354393135756254,1.9327073097229004,2.594024419784546,0.003464510664343834,122.25093078613281,2.1670591831207275,19.870662689208984,22.037721633911133,,0.32577598094940186,0.27425071597099304,11.379825592041016,0.00022172399621922523,1.9471142292022705,10.095746994018555,1045.191650390625,,0.43233969807624817,1.9636393785476685
2020-09-10 02:00:00,2,1,2020,9,10,2,0,0,-70.0,43.523,-123.453,101.0,932.8,303.6,297.5,0.0,462.0,20.8,597.3,104.9,33.71747970581055,360.8641662597656,88735.40625,46.37531661987305,4430.74755859375,55.77732849121094,106.08721923828125,0.7315463423728943,0.02881241776049137,0.007354393135756254,1.9327073097229004,2.594024419784546,0.003464510664343834,122.25093078613281,2.1670591831207275,19.870662689208984,22.037721633911133,,0.32577598094940186,0.27425071597099304,11.379825592041016,0.00022172399621922523,1.9471142292022705,10.095746994018555,1045.191650390625,,0.43233969807624817,1.9636393785476685
2020-09-10 02:00:00,3,1,2020,9,10,2,0,0,-70.0,42.41,-122.563,380.4,862.9,307.1,294.4,0.0,629.8,14.4,986.3,91.5,33.71747970581055,360.8641662597656,88735.40625,46.37531661987305,4430.74755859375,55.77732849121094,106.08721923828125,0.7315463423728943,0.02881241776049137,0.007354393135756254,1.9327073097229004,2.594024419784546,0.003464510664343834,122.25093078613281,2.1670591831207275,19.870662689208984,22.037721633911133,,0.32577598094940186,0.27425071597099304,11.379825592041016,0.00022172399621922523,1.9471142292022705,10.095746994018555,1045.191650390625,,0.43233969807624817,1.9636393785476685
2020-09-10 01:00:00,1,1,2020,9,10,1,0,0,-71.0,44.74,-121.982,261.0,900.2,307.1,298.0,0.0,770.1,8.0,745.5,287.4,4.3275675773620605,2773.339599609375,89474.6953125,345.4239807128906,32995.078125,422.6441955566406,791.1392822265625,0.6594434976577759,0.02037748508155346,0.14522923529148102,15.343301773071289,22.666351318359375,0.0002472664345987141,906.2046508789062,101.10814666748047,68.39143371582031,169.49957275390625,,0.37951502203941345,0.30197781324386597,85.65283203125,3.778528844122775e-05,16.954744338989258,76.36406707763672,7894.08544921875,,1.9909265041351318,14.928387641906738
2020-09-10 01:00:00,2,1,2020,9,10,1,0,0,-71.0,43.471,-123.368,105.0,928.9,305.4,298.9,0.0,568.8,17.7,626.7,309.0,4.3275675773620605,2773.339599609375,89474.6953125,345.4239807128906,32995.078125,422.6441955566406,791.1392822265625,0.6594434976577759,0.02037748508155346,0.14522923529148102,15.343301773071289,22.666351318359375,0.0002472664345987141,906.2046508789062,101.10814666748047,68.39143371582031,169.49957275390625,,0.37951502203941345,0.30197781324386597,85.65283203125,3.778528844122775e-05,16.954744338989258,76.36406707763672,7894.08544921875,,1.9909265041351318,14.928387641906738
2020-09-10 01:00:00,3,1,2020,9,10,1,0,0,-71.0,42.271,-122.425,377.1,861.2,308.4,295.5,0.0,717.3,13.6,1005.6,299.4,4.3275675773620605,2773.339599609375,89474.6953125,345.4239807128906,32995.078125,422.6441955566406,791.1392822265625,0.6594434976577759,0.02037748508155346,0.14522923529148102,15.343301773071289,22.666351318359375,0.0002472664345987141,906.2046508789062,101.10814666748047,68.39143371582031,169.49957275390625,,0.37951502203941345,0.30197781324386597,85.65283203125,3.778528844122775e-05,16.954744338989258,76.36406707763672,7894.08544921875,,1.9909265041351318,14.928387641906738
2020-09-10 00:00:00,1,1,2020,9,10,0,0,0,-72.0,44.683,-121.784,284.2,893.4,308.7,298.9,0.0,905.6,6.3,786.4,472.4,36.98896408081055,308.9377136230469,80464.703125,43.11830520629883,4137.0830078125,51.8435173034668,98.66275024414062,0.6686233282089233,0.02470962330698967,0.004249661695212126,1.853409767150879,2.60336971282959,0.005881454795598984,114.42156982421875,1.2827379703521729,15.816882133483887,17.099620819091797,,0.20406809449195862,0.15436603128910065,9.814034461975098,0.00013084251258987933,1.9645776748657227,9.381511688232422,974.2586059570312,,0.4069223999977112,1.8285499811172485
2020-09-10 00:00:00,2,1,2020,9,10,0,0,0,-72.0,43.416,-123.273,108.4,924.6,307.2,300.3,0.0,684.7,14.7,659.4,497.2,36.98896408081055,308.9377136230469,80464.703125,43.11830520629883,4137.0830078125,51.8435173034668,98.66275024414062,0.6686233282089233,0.02470962330698967,0.004249661695212126,1.853409767150879,2.60336971282959,0.005881454795598984,114.42156982421875,1.2827379703521729,15.816882133483887,17.099620819091797,,0.20406809449195862,0.15436603128910065,9.814034461975098,0.00013084251258987933,1.9645776748657227,9.381511688232422,974.2586059570312,,0.4069223999977112,1.8285499811172485
